No,Review,Length,LSM_Score,Category,Product,Expertise,Priority
38,Excellent sound quality; the noise cancelling function is truly a taste of modern technology but... I had to replace them twice and they were only used in the office for conference calls or blocking out the noisy cubical neighbors that like to listen to rock radio all day... occasionally coworkers liked to have dB wars with the country music enjoyers and these earbuds were great for blocking the whole show out. In the end; they turned out to be a waste of silicon and lithium because I went through two pairs in under a year due to irritating noises during malfunction (loud popping; odd/painful pressure changes in the ears),629,0.3402,earbuds,Amazon Echo Buds with Active No,1,629.3402
39,Not even one star. Can???get this to pair and work with any device. The online assistance is worthless. Biggest waste of money IMO.,131,0.1187,earbuds,Amazon Echo Buds with Active No,0,130.8813
40,Great price; great sound and alexa compatible. Quality is on par with high priced brands and low cost makes this a no brainer,125,0.2477,earbuds,Amazon Echo Buds with Active No,0,124.7523
41,The sound of these earbuds is fine. The controls are basic and work. The problem?? The fit and the instructions on how to get a correct fit are a FAIL! I tried different sizes of the tips plus the optional wings. I cannot find a position that prevents these from constantly falling out when doing mild exercise or walking around. I am not running or working out vigorously ( I am a Senior). The help video appears to be easy to follow. However; when followed; the ear bud are not in the position they are supposed to be in. So either I have weird ear canals or these are the worst design ear buds. I have hearing aids (not used with the ear buds) and have used ear buds in the past; but never have I esperienced so much difficulty in getting a comfortable fit that will stay in.,778,0.2955,earbuds,Amazon Echo Buds with Active No,1,778.2955
42,After sitting idle for a few days; buds will not turn on and case is completely discharged. Once charging; the buds will connect; however the case is dead. Poor battery life.,174,0.1912,earbuds,Amazon Echo Buds with Active No,0,173.8088
43,Actually a horribly made product; first you are required to download and run Thier app; which is disgustingly pathetic that's legal. Then if the charging station runs out of batteries you can't use them; not the headphones the thing that charges them. This is made to be faulty; obvious issues like headphones relying on the charger to even work is a known tactic to get people to have to re buy when either one breaks. But then again this company is known for screwing over the shoppers to make money,501,0.2125,earbuds,Amazon Echo Buds with Active No,1,501.2125
44,Sound is okay but the battery life is terrible. I can use my old echo buds for weeks without a charge and these are at 60% after a 5 mile walk. They also aren???nearly as comfortable in my ears as the older buds. Pretty disappointed in them.,241,0.3272,earbuds,Amazon Echo Buds with Active No,0,240.6728
45,I've had for over a week and love these buds. Hands down a better fit for my ears than Airpods. Sound is above expectations.,124,0.3552,earbuds,Amazon Echo Buds with Active No,0,123.6448
46,I found these very tough to use. Although it is a high quality product; it was hard for me to get it linked through the alexa app and would not connect to my spotify,165,0.2436,earbuds,Amazon Echo Buds with Active No,0,164.7564
47,These are awful; Do not buy these! The battery life is a joke; they last less than 4 hours; and the case does not hold a charge for longer than a day. Overpriced; the sound quality is mediocre. Not worth the ridiculous price point. These do not have a normal mode; they only have noise canceling or passthrough. Difficult to get working due to the requirements of using the Alexa app; but the app doesn't even let you control them in the slightest. Connecting them to your device is also counterintuitive and not user friendly.,527,0.2966,earbuds,Amazon Echo Buds with Active No,1,527.2966
48,I really liked how it fits but keep needing to charge them around every two hours which is kinda annoying,105,0.2322,earbuds,Amazon Echo Buds with Active No,0,104.7678
49,Like all amazon devices; it never works right. Just buy anything else. JBLs or whatever the youtubers are selling are better,124,0.1867,earbuds,Amazon Echo Buds with Active No,0,123.8133
50,The setup and software was easy. It integrates surprisingly well with the app and connecting them was easier than traditional Bluetooth earbuds. However; my left earbud came without an charge and it will not charge. Amazon refunded me for them but I was disappointed not to be able to use them. The right earbud works well. They are comfortable and have decent sound quality for the price point.,395,0.2709,earbuds,Amazon Echo Buds with Active No,0,394.7291
51,DO NOT BUY!!!! Worst product I've ever had! You need to get the Alexa app; which crashed my computer. Then once setup the earbuds would not work! Such a POS.,157,0.2506,earbuds,Amazon Echo Buds with Active No,0,156.7494
52,The sound is pretty good; but the noise cancellation is almost unnoticeable! The only way I know it is on is the voice that says it is on. Lot's of sound get through; like a paper bag being rustled; a leaf blower; people talking somewhat nearby and the rest of most everything going on around me. At least Alexa works.,318,0.2151,earbuds,Amazon Echo Buds with Active No,0,317.7849
53,Awesome sound. Very surprised of the great sound and performance!! Great buy!!,78,0.2331,earbuds,Amazon Echo Buds with Active No,0,77.7669
54,Forces you to use an app for base level earbud functionality; most likely to harvest your data. You're paying $100 to have your data harvested,142,0.1942,earbuds,Amazon Echo Buds with Active No,0,141.8058
55,Huge improvement over the previous model! I am really impressed! Works better with Alexa; easier to pair; and the wingtips make the fit really secure!,150,0.2289,earbuds,Amazon Echo Buds with Active No,0,149.7711
56,Got these 6 months ago and the right ear bud is no longer charging. It is under warranty but Amazon does not seem to want you to be able to exercise the warranty.,162,0.2574,earbuds,Amazon Echo Buds with Active No,0,161.7426
57,Problem staying connected to phone,34,0.0875,earbuds,Amazon Echo Buds with Active No,0,33.9125
58,Never used because left earbud won't hold a charge,50,0.2546,earbuds,Amazon Echo Buds with Active No,0,49.7454
59,These are so bad. You have to sign up on the Alexa app to use them and give permission to Alexa to listen to you which has nothing to do with headphones. Also the noise cancellation is horrendous. I regret my purchase. I??™l never use these,239,0.2839,earbuds,Amazon Echo Buds with Active No,0,238.7161
60,Why ECHO buds can???be connected to any or all devices unless you pay a weekly/yearly fee? Product clarity and audio level quality is nominal at best!!!,152,0.21,earbuds,Amazon Echo Buds with Active No,0,151.79
61,These do not work. I spent 2 hours trying to connect the earbuds to my phone. I read through each troubleshooting forum and still received the same result ??üonnection failed?? I will be returning,195,0.2907,earbuds,Amazon Echo Buds with Active No,0,194.7093
62,Amazon should take this product off the shelf. These are the worst ear buds I have ever used. And I've been using ear buds for over 30 years. Problem 1: Connectivity is so convoluted. Even the Amazon Help person I worked with was perplexed. After 90 minutes connection happened. Problem 2: I used every fitting solution they provided; varied sizes of rubber ear attachments; the extra band aid piece (that you have to take off the rubber ear attachment before you can put the band aid on). Then; every time my head moves; one of the ear pods pops out and I'm looking for it somewhere on the floor. It's a nightmare best to be avoided.,634,0.3082,earbuds,Amazon Echo Buds with Active No,1,634.3082
63,If you plan on using these for phone calls do not get them. No one can hear me. By far the worst earbuds I have gotten for calls. The cheaper Amazon earbuds are better quality than these only problem is that they would hurt. Also; the Alexa would come up thinking I was asking a question every time the wind would hit the earbud.,329,0.3149,earbuds,Amazon Echo Buds with Active No,0,328.6851
64,Used them twice before they died. These do not hold a charge; just drain to 0% even when closed in the case and not connected to anything. Worthless.,149,0.1716,earbuds,Amazon Echo Buds with Active No,0,148.8284
65,Returned; bad quality and terrible connection; keeps losing connection over and over,84,0.1372,earbuds,Amazon Echo Buds with Active No,0,83.8628
66,Garbage. I can't connect to my phone for some reason. And since I can't even do that; it won't let me set them up; and therefore cannot connect to any device. They are worthless.,178,0.1658,earbuds,Amazon Echo Buds with Active No,0,178.8342
67,Better than airpod pro 1st edition,34,0.2339,earbuds,Amazon Echo Buds with Active No,0,33.7661
68,When it works; it's great. Unfortunately it needs almost constant charging. Amazon must know this as the return window is only one month! It also loses charge quit quickly when not in use.,188,0.1769,earbuds,Amazon Echo Buds with Active No,0,187.8231
69,They don't seem to stay in ears. Sound is ok,44,0.3199,earbuds,Amazon Echo Buds with Active No,0,43.6801
70,They sent me a pair that doesn't even work. The blue light won't even turn on when I'm trying to connect them. I'm sure echo buds work good but my pair was broken. Amazon you need to learn how to package things like this and not have your delivery drivers just throw stuff on the ground.,287,0.2327,earbuds,Amazon Echo Buds with Active No,0,286.7673
71,The product is overall good. When they put the headphones back in the box and they close it; the phone is still playing through them.,133,0.2971,earbuds,Amazon Echo Buds with Active No,0,132.7029
72,They only lasted 4 months; the right earbud stopped working; and aside from that; they won't pair now. do not purchase; they still have a long way to go with these earbuds; much improvement needed. Not recommended. I paid the full price of $139.00 at the time of purchase; No customer service available; you go from one scenario to another to fix it; but there's no fix as the earbuds simply stopped working.,408,0.3411,earbuds,Amazon Echo Buds with Active No,0,407.6589
73,I got these as a back-up pair during Prime Days for $45. I use earbuds a lot and have several pairs from different manufacturers. My go-to everyday buds are Air Pod Pros but since these Echo buds were a fraction of the price; I thought I'd give them a try. A couple of things to note: I'm not an Alexa user and these are Alexa enabled buds. Think Siri if you're an Apple user - but since there's no 'Alexa phone' you're connecting to; you have to actually setup the Alexa app on your phone and configure these ear buds. I almost returned them because they worked out of the box but then didn't work because I hadn't set them up properly. The sound quality is decent; so is the battery life; but the size of the buds in your ears is larger than I'd like - substantially larger than my my other go-to Studio Beats and my Air Pods. They'll connect to multiple devices and switch automatically which is nice; but have an odd quick in that while you're listening with them they'll disconnect from one of the devices by themselves for no reason and without any movement of the buds and the connected devices (e.g. me sitting on my bed with connected iPhone and iPad both on my nightstand 2 ft away). When they disconnect; one of the ear buds loses connectivity which is annoying and requires manually reconnecting to the device you're listening to or even having to turn Bluetooth off and then back on and then reconnecting. Summary: Sound and battery life are decent; Alexa is an annoyance for me since I'm not an Alexa user; and they're clunky in terms of size and fit. These buds go in my bag as a third or fourth string pair when my others are out of juice. In terms of value for the money; at $45 they were a good deal but if I'd paid $145 I probably would've returned them. There are lots of good ear bud choices out there these days and too many better alternatives at that $145-$150 price point. I gave them a 3-Star rating only because they were decent value for what I paid. I would've given 2 stars if I'd paid full price. Sorry Amazon.,2041,0.2983,earbuds,Amazon Echo Buds with Active No,1,2041.2983
74,I've had this earphone since they came out and purchased it on a previous years Black Friday deal. I've mainly used it for listening to my Amazon Prime music when I am working out or running paired to my Samsung Galaxy phone. I've found the sound quality decent for it's price and you can use your device/smartphone's EQ to adjust the bass or treble to your listening preference (e.g. more mids or more lows). The battery life is decent as well as I never let it go below 50 %. I have it connected in my portable battery charger when it needs to be topped. It's an earphone that I keep in my Timbuktu/work out bag. The earphone is sufficient for what I need it for. I never used it for making calls so I have not tested it's microphone quality for calls nor use the voice command with Alexa or Google.,801,0.3103,earbuds,Amazon Echo Buds with Active No,1,801.3103
75,The audio quality is the best part of these. I'd say the quality is maybe slightly better than galaxy buds (maybe). I've had my original galaxy buds for a while and really like them; so I compare these to those. The echo buds fit in my ears to where I know they won't fall out; but I can't help but to want to push them farther in my ears. When I do this; I hear a ring in the ear piece like maybe I'm doing something I'm not supposed to; but I really want them to go in farther. It's slightly unsatisfying. I love that these have Alexa built in without having to press anything. That can be a game changer. One other thing I don't like about these is the touch response. The delay is too long. There's a response tone; but that doesn't sound immediately after you press it. There's an awkward delay; and then it reacts. If you don't successfully press the echo buds where you should; you won't know for a while because nothing will happen. If it had an immediate response tone like the galaxy buds it would be way more convenient. Speaking of late responses... if you program the volume up and down on the buds; it will only react one press at a time; meaning if you want to continuously turn the volume up or down; you have to hold the echo buds down. Wait for it to respond late. It will turn the volume up or down once. Then you have to let it go and do the same thing again for it to turn the volume up or down once again. (And There's no response tone for this) You can't just continue to hold it down and expect the volume to keep going up or down. This is really annoying. Imagin being on a bike and wanting to turn the volume continuously up or down ??? I cant have these as my main ear buds because of the negatives. I do love The sound quality and the idea that Alexa is built in though.,1798,0.3192,earbuds,Amazon Echo Buds with Active No,1,1798.3192
76,First; I bought these because I thought I'd lost my Pixel Pro Buds. Which of course; turned up again well after I'd gotten the Echo buds. The Echo buds don't fit quite as well as the Pixels. They feel more like they could fall out of my ears if I was jogging (well; since that'll never happen in this lifetime; they're probably safe). The sound quality is only about 70% as good as the Pixels. I spent a long time in radio; thru High School and College; and then after college; I also did video game voices in the 90's. (Mitsurugi in Soul Calibre II; anyone?) And I do a bit of video production/editing. So; I'm pretty picky about my sound and usually I want a good set of wired; over the ear head phones. The Pixel Buds were pleasantly surprising. The Echo Buds I can really only give a 'meh; they're fine'. Lastly; battery life. IT'S TERRIBLE. The Pixel Buds will go for hours; then their battery case will pep them up for another long listening session easily. The Echo Buds are practically drained after 45 minutes of a podcast; and their battery case can barely bring them back once. Their case does have wireless charging; to its credit. HOWEVER. The case is MADDENING. To pair them; you have to have the lid of the case open and then press a button on the back of the case. Pretty standard process. But the lid of the case SNAPS SHUT IF YOU BREATHE ON IT; thereby apparently interrupting the pairing process. I had to try about 5 times sitting in my car because my tablet had come un-paired and the damned lid kept snapping shut on me. All in all; I think there are probably better buds out there for the price. I got my Pixel buds included when I bought my Pixel 8 phone (thanks; Best Buy); but I'd buy them again. If I lose the Echo buds; I'm not going to bother replacing them.,1787,0.3209,earbuds,Amazon Echo Buds with Active No,1,1787.3209
77,These are a little difficult to get the right sizing; but it comes with eartips and other attachments. That being said the sound quality is decent. My only complaint is it staying in the ear as you're jogging and such.,218,0.2702,earbuds,Amazon Echo Buds with Active No,0,217.7298
78,You have to download the Alexa app to use these earbuds; something I didn't realize when I bought them and don't like. I just wanted earbuds-- not to be connected to big tech. But the real deal breaker is that they aren't compatible with my iPod; which is what I run with. You can't download the newest Alexa app on the iPod; and the older version doesn't w,357,0.1927,earbuds,Amazon Echo Buds with Active No,0,356.8073
79,I ordered two pairs of these . The black colored ones and the white colored ones . after using them for about a month I like the noise cancelling; the fit isn???bad once you figure out which earbud fits best for you . The complaint I have is the battery life . It is horrible . Even with Siri and stuff turned off the earbuds last maybe 4-5 hours . With the noise cancelling on and the Siri function turned off they last maybe closer to 6 but honestly it isn???that much of a difference battery life time . Another issue I have is when i receive a text or notification or call the volume on the earbuds gets really loud or really quiet automatically and I have to manually adjust the volume for the music or video I am watching after the call or text message notification is gone . For the price they are ??ék??but having to change out earbuds every 4-6 hours can be a hassle.,875,0.322,earbuds,Amazon Echo Buds with Active No,1,875.322
80,Sound quality is great but disappointed on the battery life.seems shorter than my$17 other cheaper pair.,104,0.3125,earbuds,Amazon Echo Buds with Active No,0,103.6875
81,Excellent sound quality; the noise cancelling function is truly a taste of modern technology but... I had to replace them twice and they were only used in the office for conference calls or blocking out the noisy cubical neighbors that like to listen to rock radio all day... occasionally coworkers liked to have dB wars with the country music enjoyers and these earbuds were great for blocking the whole show out. In the end; they turned out to be a waste of silicon and lithium because I went through two pairs in under a year due to irritating noises during malfunction (loud popping; odd/painful pressure changes in the ears),629,0.3402,earbuds,Amazon Echo Buds with Active No,1,629.3402
82,First day; so who knows what'll happen; but so far they're great. Sounds are crisp and clear; ANC is actually pretty good - very noticeable when I tested with white noise playing out of my nearby Alexa device. Tap controls are nice. I found my best fit with the small wingtips + yellow/largest tips; if that helps anyone else. Update: Had these for 2 weeks now; so here's my updated thoughts. I still love them - great price for great buds. If I had to buy them again; I would. Sound is clear; bluetooth connection is good/never drops on me; and overall I'm quite pleased. I want to note that the ANC will dampen sounds; but not eliminate them; not that I expected that anyway; but it needs to be said. I bought these primarily so I could conduct Zoom meetings and step away from my laptop - to make a drink; eat something; go to the bathroom; etc. And for that purpose; they're perfect; they've fulfilled my expectations,921,0.3235,earbuds,Amazon Echo Buds with Active No,1,921.3235
83,Very durable ear buds. Great value for the cost. I did not have any issues with connecting to my Razr phone. Very easy to use. Voice control and response time is unmatched.,172,0.2975,earbuds,Amazon Echo Buds with Active No,0,171.7025
84,There ok for the price I paid. Works ok getting feed back sounds. Connection is very good. They seem to be strong so far.,121,0.2349,earbuds,Amazon Echo Buds with Active No,0,120.7651
85,Decent audio quality; but they are prone to bad connection in the case. Right bud eventually got worse in quality; and then started giving off a high pitched screech when being put in or removed. I would recommend a different brand for the price.,246,0.3269,earbuds,Amazon Echo Buds with Active No,0,245.6731
86,Surprisingly the noise cancellation and pass through works pretty well. The ease of use of them and the style is decent; connectivity is a toss up because they randomly disconnect per session I use. Being only under $50 is a good value for money; at regular selling price it is a horrible price. The music sounds nice and clear. They do fall out of my ear; I guess I have small ears or here's that are not normal. They fit snug in there; using the wings it feels like they put the hardest rubber silicone naked fine because after using them they absolutely hurt my ears pulling them out to put them on the charger. Another thing about those Wing things is sometimes it is difficult to have them charge. They look like they are installed correctly and I'm not that much of an idiot,780,0.3506,earbuds,Amazon Echo Buds with Active No,1,780.3506
87,So many devices and so much technology that many times it is just overwhelming. New tablet; new phone; new drone; new earbuds! I bought these over a month ago and at first I would have to say that these Amazon earbuds were not what I expected. This is my first pair of earbuds so I have nothing to compair. They were difficult to pair and the instructions did not match the model so I struggled for hours until I found the magic button on the back of the charging case. Then they paired instantly but the instructions did not even say there was a button on the back though very well hidden. I changed earbud sizes and those little cage things that eventually took off. Mowed the lawn with them with my phone on my belt. Noise cancelling did not seem to matter on or off but hey; it's a lawnmower. I put these in the drawer and waited for a day that I could go back to trying these again before writing a review. It is not fair to anyone to write a reveiw for a product that truly sits in a drawer. Today is that day my friends. Pulled these out since I was going to vaccum the house. I pulled up a cool Youtube concert on my Smart TV which I had paired these earbuds to previously and proceeded to vaccum the house. Now I am impressed. The new Bluetooth 5.0 radios reached the far corners of my 3 level home with hardly an interuption. The sound quality is really good for such tiny speakers. Good separation in the base; mid's and treble. A bit of a thump even in the base! Very clear and wide range from low to high frequencies. I did not think I would eventually like these but voila! I still have alot to learn about them and Alexa but I will get there. These are comfortable to wear; don't heat your ears up and has a good battery life. Type C charging; cool charging case that holds a charge for weeks; too. I am so glad that I kept them and gave them a chance to really shine. For the money I would highly recommend.,1923,0.2986,earbuds,Amazon Echo Buds with Active No,1,1923.2986
88,I originally had the AirPod style echo buds??. they were decent. Didn???stay in place very well but stayed. But these noise cancelling ones are insane. I always thought this style would be ??Üeavy??in my ear?? But they are lite and no matter how hard I shake my head they stay in place. I must admit these are the best earbuds I have had next to my around the neck LG headset I use to cut grass with. I only gave 4 stars cuz I have only had them now for like 15 mins??,467,0.3296,earbuds,Amazon Echo Buds with Active No,0,466.6704
89,good ear buds. sound quality is awesome. there are times it disconnects from my phone and alexa doesn't work as intended. Hope this will resolve in the future. I was able to troubleshoot but did waste my time. battery life is great and can go for hours without charging. maybe days.,282,0.3503,earbuds,Amazon Echo Buds with Active No,0,281.6497
90,You get a lot of bang for you buck with these. They're very compact; sound pretty good; and the noise cancellation is great. I've found myself always popping them in on any long flights across the US. Whenever you turn off the noise cancellation; it's always shocking just how loud it is inside the plane. I think my only real complaint is how slick the case is. I'm always afraid I'm going to drop it under the seat or something.,430,0.2805,earbuds,Amazon Echo Buds with Active No,0,429.7195
